Invoice ID,Invoice Status,Invoice Type,Creation Datetime,Modification Datetime,Customer ID,Quantity,Sell Total,Tax1 Total,Tax Code ID,Tax1 Rate,Total,Total Paid,Payment Amount 1,Payment Method 1,Payment Type 1
14001969,closed,normal,01/28/2020 00:00,01/28/2020 00:00,C1,2,1030,0.00,No Tax,,1030,1030,1030,Card,Card
14001968,closed,normal,01/11/2020 00:00,01/11/2020 00:00,C2,3,1520,0.00,No Tax,,1520,1520,1520,Card,Card
14001965,closed,normal,01/11/2020 00:00,01/11/2020 00:00,C3,4,1040,0.00,No Tax,,1040,1040,1040,Card,Card
14001963,closed,normal,01/09/2020 00:00,01/09/2020 00:00,C4,3,525,0.00,No Tax,,525,525,525,Card,Card
14001962,closed,normal,01/03/2020 00:00,01/03/2020 00:00,C5,3,495,0.00,No Tax,,495,495,495,Card,Card
14001961,closed,normal,01/03/2020 00:00,01/03/2020 00:00,C6,3,1480,0.00,No Tax,,1480,1480,1480,Card,Card
14001960,closed,normal,01/03/2020 00:00,01/03/2020 00:00,C7,4,1050,0.00,No Tax,,1050,1050,1050,Card,Card
14001959,closed,normal,01/03/2020 00:00,01/03/2020 00:00,C8,4,925,0.00,No Tax,,925,925,925,Card,Card
14001958,closed,normal,01/02/2020 00:00,01/02/2020 00:00,C9,1,485,0.00,No Tax,,485,485,485,Card,Card
14001957,closed,normal,01/02/2020 00:00,01/02/2020 00:00,C10,3,1330,0.00,No Tax,,1330,1330,1330,Card,Card
14001971,closed,normal,01/31/2020 00:00,01/31/2020 00:00,C11,4,2140,0.00,No Tax,,2140,2140,2140,Card,Card
14001986,closed,normal,02/28/2020 00:00,02/28/2020 00:00,C12,2,500,0.00,No Tax,,500,500,500,Card,Card
14001983,closed,normal,02/21/2020 00:00,02/21/2020 00:00,C13,1,495,0.00,No Tax,,495,495,495,Card,Card
14001982,closed,normal,02/19/2020 00:00,02/19/2020 00:00,C14,1,525,0.00,No Tax,,525,525,525,Card,Card
14001981,closed,normal,02/14/2020 00:00,02/14/2020 00:00,C15,4,2266,0.00,No Tax,,2266,2266,2266,Card,Card
14001979,closed,normal,02/08/2020 00:00,02/08/2020 00:00,C16,3,525,0.00,No Tax,,525,525,525,Card,Card
14001978,closed,normal,02/08/2020 00:00,02/08/2020 00:00,C17,2,390,0.00,No Tax,,390,390,390,Card,Card
14001976,closed,normal,02/05/2020 00:00,02/05/2020 00:00,C18,4,1050,0.00,No Tax,,1050,1050,1050,Card,Card
14001974,closed,normal,02/01/2020 00:00,02/01/2020 00:00,C19,1,410,0.00,No Tax,,410,410,410,Card,Card
14001973,closed,normal,02/01/2020 00:00,02/01/2020 00:00,C20,2,990,0.00,No Tax,,990,990,990,Card,Card
14002005,closed,normal,06/20/2020 00:00,06/20/2020 00:00,C21,1,473,0.00,No Tax,,473,473,473,Card,Card
14002004,closed,normal,06/16/2020 00:00,06/16/2020 00:00,C22,1,383,0.00,No Tax,,383,383,383,Card,Card
14002001,closed,normal,06/03/2020 00:00,06/03/2020 00:00,C23,2,998,0.00,No Tax,,998,998,998,Card,Card
14002000,closed,normal,05/22/2020 00:00,05/22/2020 00:00,C24,2,950,0.00,No Tax,,950,950,950,Card,Card
14001999,closed,normal,03/13/2020 00:00,03/13/2020 00:00,C25,1,525,0.00,No Tax,,525,525,525,Card,Card
14001998,closed,normal,03/13/2020 00:00,03/13/2020 00:00,C26,2,1040,0.00,No Tax,,1040,1040,1040,Card,Card
14001996,closed,normal,03/07/2020 00:00,03/07/2020 00:00,C17,2,1010,0.00,No Tax,,1010,1010,1010,Card,Card
14001994,closed,normal,03/07/2020 00:00,03/07/2020 00:00,C27,2,1045,0.00,No Tax,,1045,1045,1045,Card,Card
14001993,closed,normal,03/07/2020 00:00,03/07/2020 00:00,C28,4,800,0.00,No Tax,,800,800,800,Card,Card
14001991,closed,normal,03/06/2020 00:00,03/06/2020 00:00,C29,5,1040,0.00,No Tax,,1040,1040,1040,Card,Card
14002006,closed,normal,06/20/2020 00:00,06/20/2020 00:00,C30,2,846,0.00,No Tax,,846,846,846,Card,Card
14002015,closed,normal,07/04/2020 00:00,07/04/2020 00:00,C31,3,1222,0.00,No Tax,,1222,1222,1222,Card,Card
14002014,closed,normal,07/02/2020 00:00,07/02/2020 00:00,C32,3,852,0.00,No Tax,,852,852,852,Card,Card
14002013,closed,normal,07/01/2020 00:00,07/01/2020 00:00,C33,1,1140,0.00,No Tax,,1140,1140,1140,Card,Card
14002012,closed,normal,06/27/2020 00:00,06/27/2020 00:00,C34,3,920,0.00,No Tax,,920,920,920,Card,Card
14002011,closed,normal,06/27/2020 00:00,06/27/2020 00:00,C35,1,385,0.00,No Tax,,385,385,385,Card,Card
