Invoice ID,Creation Date,Customer ID,Quantity (Line Item),Product Code,Sell (Line Item),Tax1 Total (Line Item),Total,Tax Name
14001969,01/28/2020 00:00,C1,1,10001,515,,515,No Tax
14001969,01/28/2020 00:00,C1,1,10002,515,,515,No Tax
14001968,01/11/2020 00:00,C2,1,10003,525,,525,No Tax
14001968,01/11/2020 00:00,C2,1,10004,525,,525,No Tax
14001968,01/11/2020 00:00,C2,1,10005,470.25,,470.25,No Tax
14001965,01/11/2020 00:00,C3,1,10006,525,,525,No Tax
14001965,01/11/2020 00:00,C3,1,10007,515,,515,No Tax
14001965,01/11/2020 00:00,C3,1,10008,150,,150,No Tax
14001965,01/11/2020 00:00,C3,1,10009,-150,,-150,No Tax
14001963,01/09/2020 00:00,C4,1,10010,525,,525,No Tax
14001963,01/09/2020 00:00,C4,1,10011,150,,150,No Tax
14001963,01/09/2020 00:00,C4,1,10012,-150,,-150,No Tax
14001962,01/03/2020 00:00,C5,1,10013,495,,495,No Tax
14001962,01/03/2020 00:00,C5,1,10014,150,,150,No Tax
14001962,01/03/2020 00:00,C5,1,10015,-150,,-150,No Tax
14001961,01/03/2020 00:00,C6,1,10016,560,,560,No Tax
14001961,01/03/2020 00:00,C6,1,10017,525,,525,No Tax
14001961,01/03/2020 00:00,C6,1,10018,395,,395,No Tax
14001960,01/03/2020 00:00,C7,1,10019,525,,525,No Tax
14001960,01/03/2020 00:00,C7,1,10020,525,,525,No Tax
14001960,01/03/2020 00:00,C7,1,10021,150,,150,No Tax
14001960,01/03/2020 00:00,C7,1,10022,-150,,-150,No Tax
14001959,01/03/2020 00:00,C8,1,10023,410,,410,No Tax
14001959,01/03/2020 00:00,C8,1,10024,515,,515,No Tax
14001959,01/03/2020 00:00,C8,1,10025,150,,150,No Tax
14001959,01/03/2020 00:00,C8,1,10026,-150,,-150,No Tax
14001958,01/02/2020 00:00,C9,1,10027,485,,485,No Tax
14001957,01/02/2020 00:00,C10,1,10028,425,,425,No Tax
14001957,01/02/2020 00:00,C10,1,10029,480,,480,No Tax
14001957,01/02/2020 00:00,C10,1,10030,425,,425,No Tax
14001971,01/31/2020 00:00,C11,1,10031,565,,565,No Tax
14001971,01/31/2020 00:00,C11,1,10032,525,,525,No Tax
14001971,01/31/2020 00:00,C11,1,10033,525,,525,No Tax
14001971,01/31/2020 00:00,C11,1,10034,525,,525,No Tax
14001986,02/28/2020 00:00,C12,1,10035,525,,525,No Tax
14001986,02/28/2020 00:00,C12,1,10036,-25,,-25,No Tax
14001983,02/21/2020 00:00,C13,1,10037,495,,495,No Tax
14001982,02/19/2020 00:00,C14,1,10038,525,,525,No Tax
14001981,02/14/2020 00:00,C15,1,10039,380,,380,No Tax
14001981,02/14/2020 00:00,C15,1,10040,1250,,1250,No Tax
14001981,02/14/2020 00:00,C15,1,10041,361,,361,No Tax
14001981,02/14/2020 00:00,C15,1,10042,275,,275,No Tax
14001979,02/08/2020 00:00,C16,1,10043,525,,525,No Tax
14001979,02/08/2020 00:00,C16,1,10044,150,,150,No Tax
14001979,02/08/2020 00:00,C16,1,10045,-150,,-150,No Tax
14001978,02/08/2020 00:00,C17,1,10046,415,,415,No Tax
14001978,02/08/2020 00:00,C17,1,10047,-25,,-25,No Tax
14001976,02/05/2020 00:00,C18,1,10048,525,,525,No Tax
14001976,02/05/2020 00:00,C18,1,10049,525,,525,No Tax
14001976,02/05/2020 00:00,C18,1,10050,150,,150,No Tax
14001976,02/05/2020 00:00,C18,1,10051,-150,,-150,No Tax
14001974,02/01/2020 00:00,C19,1,10052,410,,410,No Tax
14001973,02/01/2020 00:00,C20,1,10053,499.76,,499.76,No Tax
14001973,02/01/2020 00:00,C20,1,10054,490.24,,490.24,No Tax
14002005,06/20/2020 00:00,C21,1,10055,472.5,,472.5,No Tax
14002004,06/16/2020 00:00,C22,1,10056,382.5,,382.5,No Tax
14002001,06/03/2020 00:00,C23,1,10057,525,,525,No Tax
14002001,06/03/2020 00:00,C23,1,10058,472.5,,472.5,No Tax
14002000,05/22/2020 00:00,C24,1,10059,465,,465,No Tax
14002000,05/22/2020 00:00,C24,1,10060,485,,485,No Tax
14001999,03/13/2020 00:00,C25,1,10061,525,,525,No Tax
14001998,03/13/2020 00:00,C26,1,10062,515,,515,No Tax
14001998,03/13/2020 00:00,C26,1,10063,525,,525,No Tax
14001996,03/07/2020 00:00,C17,1,10064,525,,525,No Tax
14001996,03/07/2020 00:00,C17,1,10065,485,,485,No Tax
14001994,03/07/2020 00:00,C27,1,10066,485,,485,No Tax
14001994,03/07/2020 00:00,C27,1,10067,560,,560,No Tax
14001993,03/07/2020 00:00,C28,1,10068,375.25,,375.25,No Tax
14001993,03/07/2020 00:00,C28,1,10069,425,,425,No Tax
14001993,03/07/2020 00:00,C28,1,10070,150,,150,No Tax
14001993,03/07/2020 00:00,C28,1,10071,-150,,-150,No Tax
14001991,03/06/2020 00:00,C29,1,10072,30,,30,No Tax
14001991,03/06/2020 00:00,C29,1,10073,485,,485,No Tax
14001991,03/06/2020 00:00,C29,1,10074,525,,525,No Tax
14001991,03/06/2020 00:00,C29,1,10075,150,,150,No Tax
14001991,03/06/2020 00:00,C29,1,10076,-150,,-150,No Tax
14002006,06/20/2020 00:00,C30,1,10077,436.5,,436.5,No Tax
14002006,06/20/2020 00:00,C30,1,10078,409.5,,409.5,No Tax
14002015,07/04/2020 00:00,C31,1,10079,525,,525,No Tax
14002015,07/04/2020 00:00,C31,1,10080,498.75,,498.75,No Tax
14002015,07/04/2020 00:00,C31,1,10081,198,,198,No Tax
14002014,07/02/2020 00:00,C32,1,10082,495,,495,No Tax
14002014,07/02/2020 00:00,C32,1,10083,92,,92,No Tax
14002014,07/02/2020 00:00,C32,1,10084,265,,265,No Tax
14002013,07/01/2020 00:00,C33,1,10085,1140,,1140,No Tax
14002012,06/27/2020 00:00,C34,1,10086,375.25,,375.25,No Tax
14002012,06/27/2020 00:00,C34,1,10087,515,,515,No Tax
14002012,06/27/2020 00:00,C34,1,10088,30,,30,No Tax
14002011,06/27/2020 00:00,C35,1,10089,385,,385,No Tax
14002010,06/27/2020 00:00,C35,1,10090,400,,400,No Tax
14002009,06/27/2020 00:00,C36,1,10091,275,,275,No Tax
14002008,06/27/2020 00:00,C37,1,10092,445,,445,No Tax
14002008,06/27/2020 00:00,C37,1,10093,445,,445,No Tax
14002007,06/27/2020 00:00,C38,1,10094,425,,425,No Tax
14002023,07/14/2020 00:00,C39,1,10095,470.25,,470.25,No Tax
14002023,07/14/2020 00:00,C39,1,10096,-23.75,,-23.75,No Tax
14002022,07/11/2020 00:00,C40,1,10097,355,,355,No Tax
14002020,07/10/2020 00:00,C41,1,10098,525,,525,No Tax
14002020,07/10/2020 00:00,C41,1,10099,-25,,-25,No Tax
14002016,07/04/2020 00:00,C42,1,10100,485,,485,No Tax
14002016,07/04/2020 00:00,C42,1,10101,525,,525,No Tax
14002030,07/23/2020 00:00,C43,1,10102,525,,525,No Tax
14002030,07/23/2020 00:00,C43,1,10103,485,,485,No Tax
14002029,07/18/2020 00:00,C44,1,10104,525,,525,No Tax
14002029,07/18/2020 00:00,C44,1,10105,150,,150,No Tax
14002029,07/18/2020 00:00,C44,1,10106,-150,,-150,No Tax
14002027,07/17/2020 00:00,C45,1,10107,415,,415,No Tax
14002027,07/17/2020 00:00,C45,1,10108,355,,355,No Tax
14002026,07/15/2020 00:00,C46,1,10109,525,,525,No Tax
14002026,07/15/2020 00:00,C46,1,10110,395,,395,No Tax
14002025,07/15/2020 00:00,C47,1,10111,525,,525,No Tax
14002024,07/15/2020 00:00,C48,1,10112,160,,160,No Tax
14002024,07/15/2020 00:00,C48,1,10113,465,,465,No Tax
14002024,07/15/2020 00:00,C48,1,10114,485,,485,No Tax
14002024,07/15/2020 00:00,C48,1,10115,189,,189,No Tax
14002044,08/29/2020 00:00,C49,1,10116,410,,410,No Tax
14002042,08/15/2020 00:00,C50,1,10117,380,,380,No Tax
14002042,08/15/2020 00:00,C50,1,10118,550,,550,No Tax
14002040,08/07/2020 00:00,C51,1,10119,485,,485,No Tax
14002040,08/07/2020 00:00,C51,1,10120,485,,485,No Tax
14002038,08/04/2020 00:00,C52,1,10121,485,,485,No Tax
14002036,07/31/2020 00:00,C53,1,10122,525,,525,No Tax
14002036,07/31/2020 00:00,C53,1,10123,515,,515,No Tax
14002035,07/30/2020 00:00,C54,1,10124,525,,525,No Tax
14002035,07/30/2020 00:00,C54,1,10125,480,,480,No Tax
14002034,07/30/2020 00:00,C55,1,10126,485,,485,No Tax
14002034,07/30/2020 00:00,C55,1,10127,465,,465,No Tax
14002034,07/30/2020 00:00,C55,1,10128,455,,455,No Tax
14002032,07/28/2020 00:00,C56,1,10129,250,,250,No Tax
14002032,07/28/2020 00:00,C56,1,10130,275,,275,No Tax
14002031,07/23/2020 00:00,C57,1,10131,355.5,,355.5,No Tax
14002017,07/04/2020 00:00,C58,1,10132,481.83,,481.83,No Tax
